"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","2015-12-15","14.09",,"0.19","0.0","55","61","48","  270","  280","31.1","40.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-16","8.72",,"0.00","0.0","44","48","38","   30","   30","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-17","8.05",,"0.55","0.0","44","52","39","  150","  140","17.0","23.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-18","10.51",,"0.04","0.0","49","52","39","  290","  310","18.1","23.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-19","15.43",,"0.00","0.0","38","40","33","  260","  270","29.1","38.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-20","10.29",,"0.00","0.0","36","41","31","  250","  240","19.9","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-21","16.11",,"0.00","0.0","42","53","32","  230","  240","31.1","40.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-22","8.95",,"0.23","0.0","52","60","48","  230","  220","19.9","28.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-23","7.38",,"0.76","0.0","52","56","45","   80","   90","19.9","25.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-24","8.05",,"0.24","0.0","55","69","48","  220","  230","25.1","32.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-25","5.59",,"0.00","0.0","57","62","49","  340","  330","15.0","21.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-26","6.71",,"0.00","0.0","49","55","41","  340","  320","16.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-27","6.26",,"0.26","0.0","46","50","38","  320","  320","23.9","32.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-28","13.42",,"0.00","0.0","35","38","29","  320","  330","25.1","33.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-12-29","18.12",,"1.02","0.9","33","40","24","  110","  110","29.1","35.1","    1",,,"    1",,"    1",,
"USW00014739","BOSTON, MA US","2015-12-30","6.26",,"0.03","0.0","26","37","25","  320","  340","13.0","15.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-12-31","8.72",,"0.08","0.0","38","47","33","  270","  260","17.0","23.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-01-01","12.75",,"0.00","0.0","39","41","33","  260","  260","23.0","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-02","13.42",,"0.00","0.0","35","40","31","  260","  270","21.9","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-03","11.63",,"0.00","0.0","36","44","31","  260","  240","21.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-04","12.30",,"0.00","0.0","30","36","14","  320","  320","21.0","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-05","10.07",,"0.00","0.0","16","26","8","  330","  320","18.1","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-06","10.07",,"0.00","0.0","30","45","21","  230","  210","15.0","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-07","6.49",,"0.00","0.0","33","43","26","  230","  240","14.1","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-08","10.96",,"0.00","0.0","35","42","30","   90","   80","18.1","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-09","6.04",,"0.01","0.0","40","41","38","   90","  100","16.1","18.1","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2016-01-10","14.99",,"1.38","0.0","45","58","38","  120","  110","30.0","38.9","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2016-01-11","19.24",,"0.00","0.0","40","51","25","  290","  270","30.0","38.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-12","9.62",,"0.08","0.3","29","37","21","  150","  130","19.9","23.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-01-13","19.69",,"0.00","0.0","29","33","21","  270","  270","36.0","47.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-14","10.51",,"0.00","0.0","24","30","21","  250","  270","17.0","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-15","6.49",,"0.00","0.0","31","42","26","  110","   90","15.0","17.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-16","9.40",,"1.22","0.0","39","43","34","  330","  330","21.0","28.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-01-17","9.40",,"0.10","1.3","35","38","29","  270","  260","15.0","21.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-01-18","16.78",,"0.11","1.8","27","29","19","  270","  280","30.0","42.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-01-19","21.92",,"0.00","0.0","20","25","16","  270","  270","31.1","45.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-20","18.79",,"0.00","0.0","24","33","19","  280","  280","28.0","38.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-21","13.87",,"0.00","0.0","27","33","21","  320","  310","23.9","35.1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-22","11.41",,"0.00","0.0","24","32","19","  300","  310","23.9","31.1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-23","20.36",,"0.37","6.1","29","32","20","   40","   40","36.0","45.0","    1","    1",,,,,,"    1"
"USW00014739","BOSTON, MA US","2016-01-24","11.18",,"0.00","0.0","25","36","18","  360","   10","28.0","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-25","7.16",,"0.00","0.0","31","35","26","  320","  300","14.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-26","14.32",,"0.00","0.0","37","51","28","  210","  200","30.0","36.9",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-27","12.08",,"0.00","0.0","43","45","31","  290","  290","21.0","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-28","8.05",,"0.00","0.0","34","42","26","  220","  230","18.1","23.0",,,,,,,,
